,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
15,HM Nicholls (NZ),201602019,5,4,0,19,7,4.75,28,67.85,0,0,0,2,0
16,AE Paraam (SGP),201902019,3,2,1,19,10,19,10,190,0,0,0,2,1
17,AM Phangiso (SA),201202018,16,3,0,19,13,6.33,29,65.51,0,0,0,1,0
18,RLB Rambukwella (SL),201302016,2,1,0,19,19,19,16,118.75,0,0,0,1,1
19,SV Samson (INDIA),201502015,1,1,0,19,19,19,24,79.16,0,0,0,1,0
20,L Shafeeg (Mald),201902019,3,1,1,19,19*,0,11,172.72,0,0,0,2,1
21,Sufyan Mehmood (OMAN),201502019,3,2,1,19,13*,19,41,46.34,0,0,0,2,0
22,KOK Williams (WI),201602019,24,7,4,19,13*,6.33,17,111.76,0,0,1,1,1
23,N Yordanov (),201902019,2,2,1,19,19*,19,11,172.72,0,0,1,0,2
24,JD Baker (Samoa),201902019,4,3,3,18,11*,0,14,128.57,0,0,0,3,0
25,V Baskaran (SGP),201902019,12,5,3,18,14*,9,23,78.26,0,0,1,0,0
26,Bilal Khan (OMAN),201502019,32,10,7,18,6*,6,28,64.28,0,0,2,1,0
27,LA Collado (GIBR),201902019,4,3,2,18,8,18,34,52.94,0,0,0,0,0
28,LHD Dilhara (SL),200802008,2,1,1,18,18*,0,9,200,0,0,0,0,1
29,XJ Doherty (AUS),201202013,11,4,3,18,9*,18,17,105.88,0,0,0,1,0
30,BE Hendricks (SA),201402019,11,3,1,18,12*,9,21,85.71,0,0,0,0,1
31,Khurram Chohan (CAN),201002010,4,4,2,18,8,9,14,128.57,0,0,0,1,1
32,JB Little (IRE),201602019,11,6,2,18,7,4.5,16,112.5,0,0,2,3,0
33,AK Markram (SA),201902019,2,2,0,18,15,9,17,105.88,0,0,0,1,1
34,SW Masakadza (ZIM),201002013,7,5,1,18,9,4.5,24,75,0,0,1,1,0
35,Nauman Anwar (PAK),201502015,1,1,0,18,18,18,10,180,0,0,0,2,1
36,Naved0ul0Hasan (PAK),200602010,4,2,1,18,17*,18,16,112.5,0,0,0,0,2
37,Nazmul Islam (BDESH),201802018,13,4,3,18,7,18,17,105.88,0,0,0,2,0
38,D Nikolov (),201902019,3,2,0,18,13,9,33,54.54,0,0,0,2,0
39,Raza Hasan (PAK),201202014,10,4,4,18,13*,0,25,72,0,0,0,2,0
